phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2.6662955e-13,7.9439656e-13,0.05,0.05,1.9060608e-13,0.05,0.05,0.05,3.1386154e-13,0.05,0.05,0.05,0.05,0.05,9.999357e-13,0.05,1.9643475e-12
Susceptible,0.051181193,0.051181193,0.051181193,0.051181193,0.051181193,0.051181193,0.051181193,0.0018367124,0.051181193,0.051181193,0.051181193,0.051181193,0.005787781,0.0031417648,0.051181193,0.051181193,0.051181193,0.0042941873,0.051181193,0.0002396349,0.051181193,0.0033017148,0.051181193,0.051181193,0.051181193,0.0089556305
Susceptible,0.071428575,0.071428575,0.071428575,0.071428575,0.071428575,1.0662128e-16,0.071428575,0.071428575,0.071428575,6.9095594e-17,3.6017816e-16,5.2150694e-18,1.589035e-15,1.3791181e-17,4.620688e-16,0.071428575,3.7279305e-22,2.1548939e-16,0.071428575,3.3306976e-23,0.071428575,4.5437415e-17,0.071428575,0.071428575,0.071428575,6.4974157e-15
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.6856879e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.6964303e-16,0.04761905,0.04761905,0.04761905,6.1313316e-16,0.04761905,0.04761905,0.04761905,7.12893e-16,0.04761905,0.04761905,0.04761905,9.548287e-15
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,2.420609e-14,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,9.3633793e-14,9.3616775e-15,0.04761905,0.04761905,0.04761905,8.5640266e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,6.8329735e-14
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,2.3713725e-19,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.6734097e-18,3.8568023e-20,0.04761905,0.04761905,0.04761905,6.487721e-20,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.505251e-18
Susceptible,0.0625,0.0625,0.0625,0.0625,0.0625,3.8637037e-21,2.1090188e-20,0.0625,0.0625,0.0625,0.0625,2.134333e-22,4.7086788e-20,1.1884661e-21,0.0625,0.0625,5.4293677e-25,1.2151284e-21,0.0625,6.623685e-26,0.0625,2.3277737e-21,0.0625,0.0625,0.0625,2.3269759e-20
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.0632409e-17,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.0700558e-18,1.0895854e-16,5.3340068e-18,0.055555556,0.055555556,3.457486e-21,6.620677e-18,0.055555556,0.055555556,0.055555556,9.426982e-18,0.055555556,0.055555556,0.055555556,1.0810691e-16
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.5384111e-16,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,5.185628e-17,0.04761905,0.04761905,0.04761905,5.3403482e-17,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,2.7090125e-16,0.04761905,5.797471e-16
Susceptible,0.0625,0.0625,0.0625,0.0625,0.0625,2.6972058e-22,0.0625,0.0625,0.0625,0.0625,0.0625,1.4502228e-23,5.1016162e-21,6.801107e-23,1.9871881e-21,0.0625,1.2272044e-26,1.4084174e-22,0.0625,0.0625,0.0625,1.8548359e-22,0.0625,6.78986e-22,0.0625,4.4612666e-21
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.1710162e-14,1.8369515e-15,0.04761905,0.04761905,0.04761905,2.5733496e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.1538592e-13,2.6249717e-14
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,4.0497167e-14,0.045454547,0.045454547,0.045454547,5.4578944e-14,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,2.9868103e-13,0.045454547,4.696027e-13
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,7.469257e-18,4.6556393e-16,2.3953284e-17,0.055555556,0.055555556,6.4965796e-20,2.7343302e-17,0.055555556,3.517377e-21,0.055555556,3.581426e-17,0.055555556,0.055555556,0.055555556,3.7459092e-16
Susceptible,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,8.217449e-12,1.13302596e-10,1.4233728e-11,0.05263158,0.05263158,2.2626806e-13,2.120617e-11,0.05263158,0.05263158,0.05263158,2.1665711e-11,0.05263158,0.05263158,0.05263158,1.3427995e-10
Susceptible,1.7555478e-16,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,4.1878823e-18,0.045454547,0.045454547,0.045454547,6.4704777e-18,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,1.5058386e-16
Susceptible,0.05,0.05,0.05,0.05,0.05,3.7492426e-10,0.05,0.05,0.05,0.05,0.05,9.464015e-11,0.05,1.6986317e-10,0.05,0.05,0.05,2.2280913e-10,0.05,0.05,0.05,2.0796753e-10,0.05,0.05,0.05,1.4888795e-09
Susceptible,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,1.8396856e-06,0.043478034,1.4286567e-06,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,0.043478034,1.9812776e-06,0.043478034,0.043478034,0.043478034,0.043478034
Susceptible,0.05,0.05,0.05,0.05,0.05,3.066374e-15,0.05,0.05,1.3455516e-14,0.05,0.05,0.05,0.05,7.601442e-16,8.920446e-15,0.05,0.05,1.3370292e-15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.9558887e-14
Susceptible,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,1.0112677e-17,0.0625,9.5176816e-18,0.0625,0.0625,2.5937628e-19,2.040636e-17,8.6140335e-19,0.0625,0.0625,2.433556e-21,1.0326297e-18,0.0625,1.6058146e-22,0.0625,1.5368013e-18,0.0625,0.0625,0.0625,1.18762556e-17
Susceptible,0.07692308,2.1257261e-27,0.07692308,0.07692308,0.07692308,1.1026366e-25,0.07692308,7.3609035e-27,1.1229103e-24,0.07692308,0.07692308,6.1138673e-27,3.2270635e-24,4.4922063e-26,1.3783557e-24,0.07692308,5.436886e-30,6.030437e-26,0.07692308,0.07692308,0.07692308,1.1846092e-25,0.07692308,2.7793872e-25,0.07692308,1.7277772e-24
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,4.4813287e-24,1.7891874e-21,2.2673664e-23,6.9475003e-22,0.05882353,3.9665224e-27,2.8960813e-23,0.05882353,4.8042497e-29,0.05882353,4.5933992e-23,0.05882353,0.05882353,0.05882353,1.5211016e-21
Susceptible,0.07692308,0.07692308,0.07692308,5.6032e-41,0.07692308,7.790648e-39,4.906591e-38,0.07692308,0.07692308,0.07692308,0.07692308,2.0549e-41,1.0350512e-36,1.08472e-40,1.3946792e-37,0.07692308,0.0,2.141331e-39,0.07692308,0.07692308,5.49039e-40,1.140642e-39,0.07692308,0.07692308,3.6123412e-35,1.4907069e-36
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,2.7753055e-21,4.171081e-19,7.2769785e-21,0.05882353,0.05882353,6.314313e-24,1.3456597e-20,4.2265967e-19,6.072895e-26,0.05882353,1.5597604e-20,0.05882353,0.05882353,0.05882353,3.6045274e-19
Susceptible,0.05263158,0.05263158,0.05263158,4.2982957e-28,0.05263158,8.555461e-27,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,1.6000367e-25,8.674718e-28,0.05263158,0.05263158,0.05263158,1.5056878e-27,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,1.7103084e-24,1.0061324e-25
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,3.2456955e-26,2.3119121e-23,1.2711496e-25,7.840122e-24,0.055555556,6.6332774e-30,3.5519145e-25,0.055555556,0.055555556,0.055555556,3.8738622e-25,0.055555556,0.055555556,0.055555556,2.7613764e-23
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,1.6345031e-11,0.04347826,0.04347826,0.04347826,2.5582553e-11,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,2.0516686e-10
