epoch,step,train_loss,train_loss_amr,train_loss_gene,val_f1_macro
0,0,0.913593053817749,0.704886794090271,0.6956875324249268,
0,1,0.8920415639877319,0.6840037107467651,0.6934594511985779,
0,2,0.8248890042304993,0.6175509691238403,0.6911267638206482,
0,3,0.8433621525764465,0.6371499300003052,0.6873741149902344,
0,4,0.7474803328514099,0.5427347421646118,0.6824852228164673,
0,4,,,,0.4221198260784149
1,5,0.7270910739898682,0.5246423482894897,0.6748291254043579,
1,6,0.5815082788467407,0.38157400488853455,0.6664474606513977,
1,7,0.7426338791847229,0.5455465316772461,0.6569578647613525,
1,8,0.5993291139602661,0.40620383620262146,0.643750786781311,
1,9,0.7216539978981018,0.5319855213165283,0.6322282552719116,
1,9,,,,0.4761904776096344
2,10,0.503314733505249,0.3156617283821106,0.6255099773406982,
2,11,0.5371605753898621,0.3528282940387726,0.6144408583641052,
2,12,0.5031967163085938,0.32394373416900635,0.5975099802017212,
2,13,0.43989914655685425,0.26572293043136597,0.5805873870849609,
2,14,0.5178836584091187,0.3474821448326111,0.5680050253868103,
2,14,,,,0.4761904776096344
3,15,0.4108668267726898,0.24631527066230774,0.5485051870346069,
3,16,0.3059496283531189,0.1510111391544342,0.5164616107940674,
3,17,0.3430861830711365,0.18623775243759155,0.5228281021118164,
3,18,0.30756399035453796,0.15564778447151184,0.5063873529434204,
3,19,0.31199342012405396,0.15802618861198425,0.5132240653038025,
3,19,,,,0.37178051471710205
4,20,0.2301359921693802,0.08124928176403046,0.4962890148162842,
4,21,0.198388934135437,0.05519845709204674,0.47730153799057007,
4,22,0.17932240664958954,0.05028698220849037,0.4301180839538574,
4,23,0.2942805290222168,0.1657344400882721,0.4284869134426117,
4,24,0.18255755305290222,0.057531844824552536,0.41675230860710144,
4,24,,,,0.37178051471710205
5,25,0.11735885590314865,0.005041926167905331,0.37438973784446716,
5,26,0.17478883266448975,0.04740271717309952,0.4246203899383545,
5,27,0.11551664769649506,0.003857146482914686,0.37219834327697754,
5,28,0.18211011588573456,0.0849226638674736,0.323958158493042,
5,29,0.1337566077709198,0.02442665584385395,0.3644331395626068,
5,29,,,,0.4545454680919647
6,30,0.11284901201725006,0.014241557568311691,0.3286915123462677,
6,31,0.14663830399513245,0.04675300419330597,0.33295100927352905,
6,32,0.09758036583662033,0.006120441481471062,0.30486640334129333,
6,33,0.0963674858212471,0.0002300671476405114,0.3204580545425415,
6,34,0.20120742917060852,0.10985240340232849,0.3045167624950409,
6,34,,,,0.40634921193122864
7,35,0.11642637848854065,0.026918377727270126,0.2983599901199341,
7,36,0.08266821503639221,0.002261130139231682,0.26802361011505127,
7,37,0.1467558741569519,0.060870300978422165,0.28628525137901306,
7,38,0.08930773288011551,0.0013073717709630728,0.2933345437049866,
7,39,0.08809869736433029,0.004813408479094505,0.27761760354042053,
7,39,,,,0.4545454680919647
8,40,0.08502037078142166,0.0033989399671554565,0.2720714211463928,
8,41,0.08656906336545944,0.004869719035923481,0.2723311185836792,
8,42,0.19151082634925842,0.11002941429615021,0.2716046869754791,
8,43,0.07898907363414764,0.001184278167784214,0.2593493163585663,
8,44,0.08295265585184097,0.009073172695934772,0.24626491963863373,
8,44,,,,0.4545454680919647
9,45,0.07376902550458908,0.0008470283355563879,0.24307331442832947,
9,46,0.09160194545984268,0.011338197626173496,0.26754581928253174,
9,47,0.07710526883602142,0.003763306885957718,0.2444731742143631,
9,48,0.08394622802734375,0.0030316077172756195,0.2697153687477112,
9,49,0.08920275419950485,0.016635408625006676,0.24189114570617676,
9,49,,,,0.40634921193122864
10,50,0.07036710530519485,0.0010043882066383958,0.23120903968811035,
10,51,0.09947864711284637,0.021266207098960876,0.26070812344551086,
10,52,0.15747809410095215,0.08676149696111679,0.23572200536727905,
10,53,0.08449982106685638,0.005695447325706482,0.262681245803833,
10,54,0.07916267216205597,0.0001735626719892025,0.26329702138900757,
10,54,,,,0.40634921193122864
11,55,0.0723080262541771,0.00025719456607475877,0.2401694357395172,
11,56,0.10290230810642242,0.016545819118618965,0.28785496950149536,
11,57,0.07175186276435852,0.0003890294465236366,0.23787608742713928,
11,58,0.0680343434214592,0.0010237250244244933,0.22336871922016144,
11,59,0.18264654278755188,0.1193116307258606,0.21111634373664856,
11,59,,,,0.40634921193122864
12,60,0.07938308268785477,0.008148991502821445,0.23744696378707886,
12,61,0.06595273315906525,0.0017424237448722124,0.21403434872627258,
12,62,0.06876668334007263,0.001365268835797906,0.2246713787317276,
12,63,0.09724796563386917,0.02438190020620823,0.24288687109947205,
12,64,0.09123759716749191,0.002002837136387825,0.2974492013454437,
12,64,,,,0.3863636255264282
13,65,0.068092480301857,0.0008945855661295354,0.2239929735660553,
13,66,0.15065008401870728,0.0750628113746643,0.25195756554603577,
13,67,0.0768207386136055,0.0018769740127027035,0.2498125433921814,
13,68,0.0833510085940361,0.010048470459878445,0.24434179067611694,
13,69,0.22221937775611877,0.15252956748008728,0.23229935765266418,
13,69,,,,0.40634921193122864
