gene,mean_attn
KPC-2,0.0016216311
dfrA14,0.0016210717
oprD,0.001619919
nusE,0.0016197979
phoP_1,0.0016197393
OXA-181,0.0016188893
ANT(2'')-Ia,0.0016169632
soxS_2,0.0016164512
cmlA2,0.0016158713
msrE,0.0016154475
ErmB,0.0016153881
phoP_3,0.0016151181
aac(6')-Ib,0.0016144459
bla,0.0016143657
tet(A),0.0016142187
QnrB family,0.0016138725
macA_1,0.001613308
APH(3')-Ia,0.0016130701
bcr,0.0016125556
dfrA1,0.0016119335
glpT_2,0.0016115778
OXA-9,0.0016105804
soxS_3,0.0016096965
ramA_1,0.0016096244
SHV-8,0.0016092416
aadA24,0.0016092082
frp,0.0016086868
glpT_3,0.0016077048
yfbW,0.0016076048
Mph(E)/Mph(G) family,0.0016074115
yokD_2,0.0016072427
marR_2,0.0016068048
yibH_4,0.0016064827
emrB_1,0.001605848
NDM-5,0.0016057688
catB,0.0016054541
yokD,0.0016052803
NDM-1,0.0016051716
basR_2,0.001605038
emrB_3,0.0016040383
marA_2,0.0016040168
QnrS1,0.0016039714
ksgA,0.0016039308
fabF,0.0016036563
SHV-13,0.0016035052
rob,0.0016032513
ampC,0.0016032463
Erm(B),0.0016030718
rseD,0.0016028549
bepE,0.0016028498
yokD_1,0.0016025226
rmtF,0.0016024322
erm(B),0.0016020667
APH(4)-I,0.001602031
alr_2,0.0016019795
citA_1,0.0016008319
ble,0.001600443
str,0.0016003808
phoP_2,0.001599562
ompN_3,0.00159951
ccrB,0.0015988965
rmtB,0.0015981183
arr-2,0.0015978444
ftsI_1,0.0015970257
bcr_3,0.0015963871
cat,0.0015955194
hns_2,0.0015954181
VIM family,0.0015952721
soxS_6,0.0015949473
aph(3'')-Ib,0.0015947137
Msr(E),0.0015942882
alr_1,0.001593956
arr-3,0.00159351
bepE_1,0.0015933308
catII,0.0015930932
CmlA family,0.0015923209
soxS_5,0.0015919264
cirA_1,0.0015919062
Tet(D),0.0015912246
basR,0.0015911001
armA,0.0015903775
aacA4,0.001590182
acrR_2,0.0015900431
hns_3,0.0015898434
FloR family,0.0015897574
OXA-10 family,0.0015896603
blaSHV,0.0015893788
ramA_2,0.0015890951
OXA-48,0.0015890293
CatA2 family,0.0015889948
neo,0.0015883298
blaCTX-M,0.0015881516
SHV-1,0.0015880635
AAC(3)-IIa,0.0015879082
ygjG,0.0015877429
dhfrI,0.0015875632
folP_3,0.0015867533
OXA-10,0.0015860354
emrE,0.0015852842
APH(3')-III/APH(3')-IV/APH(3')-VI/APH(3')-VII,0.0015850253
OXA-232,0.001585011
APH(4)-Ia,0.0015848674
oxyR,0.0015841266
floR,0.0015839728
AAC(3)-IV,0.0015838216
ftsI_3,0.0015837651
bcr_2,0.0015837376
aadA16,0.0015836793
VIM-27,0.0015834698
sat-1,0.001583468
rob_3,0.0015831294
aac(6')-Il,0.0015828178
EmrAB-OMF,0.0015827795
CTX-M-27,0.0015826768
acrZ,0.0015826424
nfsA_1,0.001582528
SHV-27,0.0015818245
oxyR_3,0.0015817176
aadA1,0.0015813484
ompN,0.0015811482
QnrB6,0.001581123
TEM-54,0.0015809988
bpeF,0.0015808712
yibH_2,0.0015808275
AAC(6')-Ib8,0.0015803477
cobO,0.0015800743
imp,0.0015800346
leuO_2,0.0015799783
acrB_5,0.001579835
AAC(6')-Ia (and related AACs),0.0015795607
"AAC(6')-Ic,f,g,h,j,k,l,r-z",0.0015793688
yiaV_3,0.0015792759
emrE_2,0.0015792381
yibH_5,0.001579166
rob_2,0.0015789807
aadB,0.0015788462
VIM-1,0.001578747
soxS_1,0.00157871
cmr,0.0015785282
marA_3,0.0015783897
TEM-12,0.0015783616
tet(D),0.001578146
AAC(6')-33,0.0015780571
SHV-155,0.0015779779
yfbJ,0.0015779356
glpT_4,0.0015777313
SHV-76,0.0015774183
dfrB3,0.001577291
erm,0.0015771738
QnrA1,0.0015771596
CMY-2,0.0015770106
CMY/CMY-2/CFE/LAT family,0.0015768249
SHV-30,0.0015767186
mph(E),0.0015766583
QnrB19,0.0015761213
FosA2,0.001576082
acrF,0.00157602
marB,0.0015760033
qacE,0.0015759029
ftsI_2,0.0015758703
bla_5,0.0015758607
cirA_2,0.001575736
yibH_1,0.0015756128
QnrB2,0.0015753745
yfbE,0.0015751681
acrE,0.0015750319
emrE_1,0.0015747973
ompS2,0.0015747116
dhfrI_1,0.0015744712
AAC(6')-Ib',0.0015743889
nfsA_2,0.0015742409
yfbG,0.0015742048
macA_3,0.0015740892
vagC_2,0.0015739759
crcB,0.0015739286
soxS_8,0.0015736923
tuf1_3,0.0015736767
APH(3')-VI,0.0015735298
yfbH,0.0015732388
mdtD_1,0.0015732178
yjiO,0.0015731993
CTX-M-3,0.0015730906
yiaV_2,0.0015729141
yycF_2,0.0015728789
EmrKY-TolC,0.0015727247
dhfrI_2,0.0015725427
tuf1,0.001572281
sat2,0.0015722094
cirA_3,0.0015721902
yibH_7,0.0015720859
yeeO,0.0015718985
yusO_2,0.0015718596
yfbF,0.0015717872
vagC_1,0.0015717103
oxyR_4,0.001571513
soxS_7,0.0015665616
yegB,0.0015665616
rmt,0.0015665616
yegO,0.0015665616
yusO_1,0.0015665616
ydgF,0.0015665616
sul3,0.0015665616
sugE_1,0.0015665616
ybjG_2,0.0015665616
smeA,0.0015665616
ybjG_1,0.0015665616
yegM,0.0015665616
yegN,0.0015665616
tuf_2,0.0015665616
tetA,0.0015665616
yidY,0.0015665616
ugpQ_3,0.0015665616
tufA,0.0015665616
uhpT_1,0.0015665616
rosA,0.0015665616
yibH_6,0.0015665616
uhpT_2,0.0015665616
yiaV_1,0.0015665616
tuf_1,0.0015665616
yheS,0.0015665616
vagC_3,0.0015665616
ymfD_1,0.0015665616
yohG,0.0015665616
tetR,0.0015665616
tetG,0.0015665616
ydgE,0.0015665616
AAC(3)-I,0.0015665616
qacH,0.0015665616
aadA3,0.0015665616
SHV-36,0.0015665616
SHV-5,0.0015665616
SHV-62,0.0015665616
SHV-64,0.0015665616
SHV-86,0.0015665616
SHV-9,0.0015665616
TEM-84,0.0015665616
Tet(B),0.0015665616
Tet(G),0.0015665616
aac(3),0.0015665616
aacC4,0.0015665616
aadA5,0.0015665616
SHV-2A,0.0015665616
acrA_3,0.0015665616
alr1,0.0015665616
ant1_1,0.0015665616
ant1_2,0.0015665616
aph(3')-VI,0.0015665616
aph(6)-I,0.0015665616
arnB_2,0.0015665616
arr,0.0015665616
bepE_3,0.0015665616
bepF_1,0.0015665616
blaNDM-1_1,0.0015665616
SHV-33,0.0015665616
SHV-26,0.0015665616
proP_3,0.0015665616
EreA2,0.0015665616
AAC(3)-Ib,0.0015665616
AAC(6')-Ib10,0.0015665616
AAC(6')-Ib4,0.0015665616
AAC(6')-Ib7,0.0015665616
AAC(6')-Ib9,0.0015665616
CTX-M-11,0.0015665616
CTX-M-14,0.0015665616
DHA-1,0.0015665616
DHA-6,0.0015665616
DHA/MOR family,0.0015665616
EreA family,0.0015665616
IMP-4,0.0015665616
SHV-2,0.0015665616
KPC-4,0.0015665616
LAP family,0.0015665616
