AAC(3)-I	confers_resistance_to	ciprofloxacin
AAC(3)-I	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(3)-II,III,IV,VI,VIII,IX,X	confers_resistance_to	ciprofloxacin
AAC(3)-II,III,IV,VI,VIII,IX,X	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(3)-IIa	confers_resistance_to	ciprofloxacin
AAC(3)-IIa	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(3)-IIc	confers_resistance_to	ciprofloxacin
AAC(3)-IIc	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(3)-IV	confers_resistance_to	ciprofloxacin
AAC(3)-IV	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(3)-Ib	confers_resistance_to	ciprofloxacin
AAC(3)-Ib	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-33	confers_resistance_to	ciprofloxacin
AAC(6')-33	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ia (and related AACs)	confers_resistance_to	ciprofloxacin
AAC(6')-Ia (and related AACs)	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib	confers_resistance_to	ciprofloxacin
AAC(6')-Ib	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib'	confers_resistance_to	ciprofloxacin
AAC(6')-Ib'	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib-cr	confers_resistance_to	ciprofloxacin
AAC(6')-Ib-cr	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib/AAC(6')-II	confers_resistance_to	ciprofloxacin
AAC(6')-Ib/AAC(6')-II	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib10	confers_resistance_to	ciprofloxacin
AAC(6')-Ib10	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib4	confers_resistance_to	ciprofloxacin
AAC(6')-Ib4	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib7	confers_resistance_to	ciprofloxacin
AAC(6')-Ib7	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib8	confers_resistance_to	ciprofloxacin
AAC(6')-Ib8	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ib9	confers_resistance_to	ciprofloxacin
AAC(6')-Ib9	belongs_to_class	aminoglycoside_modifying_enzyme
AAC(6')-Ic,f,g,h,j,k,l,r-z	confers_resistance_to	ciprofloxacin
AAC(6')-Ic,f,g,h,j,k,l,r-z	belongs_to_class	aminoglycoside_modifying_enzyme
