model,auroc,f1_macro,precision_macro,recall_macro,confusion_matrix,bcs_10,train_time_s
SVM,0.9787259915899533,0.9576009421428491,0.9619083954506373,0.9538206213272898,"[[3501, 69], [153, 1942]]",,6.1
XGBoost,0.9764014627330645,0.9579385594501659,0.9628331985753849,0.9537063035237962,"[[3507, 63], [157, 1938]]",1.0,17.6
RandomForest,0.960404056610711,0.834966986086515,0.90557477047784,0.8129764077468696,"[[3557, 13], [776, 1319]]",1.0,8.5
