phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,1.6506793e-14,0.04347826,0.04347826,0.04347826,1.4374322e-14,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,1.1718343e-13
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,2.5046036e-15,7.04226e-14,9.427608e-15,0.055555556,0.055555556,9.7591225e-17,6.447515e-15,0.055555556,4.0568325e-17,0.055555556,1.1579093e-14,0.055555556,0.055555556,0.055555556,3.78232e-14
Susceptible,0.05,0.05,0.05,0.05,0.05,1.0105884e-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.5200381e-21,0.05,0.05,2.1658111e-24,2.6736792e-21,7.0082406e-20,0.05,0.05,0.05,0.05,0.05,0.05,7.203917e-20
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,8.987261e-11,0.055555556,0.055555556,0.055555556,0.055555556,1.0158443e-11,1.5316945e-10,1.9296835e-11,0.055555556,0.055555556,3.0743317e-13,2.8310918e-11,0.055555556,0.055555556,0.055555556,3.1628745e-11,0.055555556,0.055555556,0.055555556,1.49396e-10
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,4.4436577e-16,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,1.08881155e-16,3.610101e-15,1.0619054e-15,3.0587029e-15,0.05882353,1.3446662e-17,3.0526459e-16,0.05882353,0.05882353,0.05882353,1.1498086e-15,0.05882353,0.05882353,0.05882353,9.696331e-16
Susceptible,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,2.5507766e-21,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,2.0965704e-22,3.4823e-20,9.648326e-22,1.7466806e-20,1.4942202e-20,6.533781e-25,1.2434386e-21,2.6010775e-20,0.06666667,0.06666667,1.9890036e-21,0.06666667,0.06666667,0.06666667,2.4504403e-20
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,6.8686464e-14,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.2236624e-14,0.04761905,2.4686338e-14,0.04761905,0.04761905,0.04761905,3.6986205e-14,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.89676e-13
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,4.0497167e-14,0.045454547,0.045454547,0.045454547,5.4578944e-14,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,2.9868103e-13,0.045454547,4.696027e-13
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,6.508345e-10,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,2.8999503e-10,1.8454218e-09,1.3976016e-09,0.055555556,0.055555556,2.3920085e-10,3.0383918e-10,0.055555556,0.055555556,0.055555556,1.2055802e-09,0.055555556,0.055555556,0.055555556,4.842564e-10
Susceptible,0.06666667,0.06666667,0.06666667,0.06666667,4.197224e-33,3.6051604e-32,0.06666667,0.06666667,0.06666667,0.06666667,2.5545808e-31,3.6962582e-34,2.5550596e-30,2.2065566e-33,5.768928e-31,0.06666667,2.373196e-39,2.2638797e-32,0.06666667,0.06666667,0.06666667,1.1010144e-32,0.06666667,0.06666667,0.06666667,4.5272395e-30
