epoch,loss
1,0.888998
2,0.747283
3,0.697434
4,0.683116
5,0.666278
6,0.652249
7,0.638668
8,0.626759
9,0.618498
10,0.601598
11,0.584349
12,0.573038
13,0.558324
14,0.544544
15,0.525488
16,0.505035
17,0.483506
18,0.465203
19,0.440116
20,0.414900
21,0.389022
22,0.359054
23,0.334540
24,0.304386
25,0.276575
26,0.251001
27,0.223044
28,0.198142
29,0.177274
30,0.156803
31,0.138106
32,0.121738
33,0.108162
34,0.094648
35,0.086206
36,0.077884
37,0.069266
38,0.062893
39,0.057488
40,0.052623
41,0.050429
42,0.046822
43,0.042845
44,0.041966
45,0.038517
46,0.037390
47,0.034639
48,0.034785
49,0.033916
50,0.032856
51,0.034612
52,0.032497
53,0.033161
54,0.032178
55,0.031554
56,0.030409
57,0.030278
58,0.030122
59,0.030274
60,0.028881
61,0.029005
62,0.029295
63,0.030105
64,0.028659
65,0.028622
66,0.028965
67,0.027335
68,0.027262
69,0.028755
70,0.027258
71,0.028927
72,0.025960
73,0.026066
74,0.026771
75,0.026911
76,0.025270
77,0.025991
78,0.027353
79,0.024356
80,0.025175
81,0.026425
82,0.025192
83,0.027093
84,0.026002
85,0.026990
86,0.025444
87,0.026311
88,0.024384
89,0.026258
90,0.026536
91,0.024604
92,0.023929
93,0.025587
94,0.024473
95,0.024478
96,0.024299
97,0.024287
98,0.024545
99,0.024476
100,0.024764
101,0.024459
102,0.023422
103,0.024675
104,0.023779
105,0.023375
106,0.023842
107,0.023307
108,0.023122
109,0.023484
110,0.023010
111,0.023206
112,0.024296
113,0.024325
114,0.023273
115,0.024785
116,0.024009
117,0.023060
118,0.024364
119,0.023252
120,0.022932
121,0.023754
122,0.023594
123,0.024332
124,0.024394
125,0.022903
126,0.024421
127,0.021921
128,0.022508
129,0.023114
130,0.023655
131,0.022233
132,0.022656
133,0.023499
134,0.022169
135,0.021495
136,0.022404
137,0.022889
138,0.022587
139,0.022446
140,0.023215
141,0.024227
142,0.022138
143,0.022505
144,0.023610
145,0.022677
146,0.022484
147,0.022073
148,0.022986
149,0.023356
150,0.024300
151,0.021685
152,0.022666
153,0.021394
154,0.023350
155,0.022156
156,0.021902
157,0.023266
158,0.022457
159,0.022191
160,0.021660
161,0.024143
162,0.021392
163,0.021708
164,0.022629
165,0.021850
166,0.021912
167,0.022508
168,0.021065
169,0.022240
170,0.021486
171,0.022524
172,0.022059
173,0.022963
174,0.021242
175,0.021953
176,0.022247
177,0.022431
178,0.021431
179,0.022416
180,0.022908
181,0.021629
182,0.022389
183,0.021364
184,0.023312
185,0.022629
186,0.022382
187,0.021879
188,0.021941
189,0.020862
190,0.021863
191,0.021440
192,0.021475
193,0.021362
194,0.021107
195,0.022141
196,0.022711
197,0.020426
198,0.021947
199,0.022051
200,0.021697
201,0.022932
202,0.021386
203,0.022835
204,0.021481
205,0.021820
206,0.022047
207,0.020322
208,0.022024
209,0.020110
210,0.021700
211,0.021492
212,0.022382
213,0.022036
214,0.021955
215,0.022481
216,0.020577
217,0.022180
218,0.021361
219,0.021063
220,0.021589
221,0.023683
222,0.021235
223,0.021639
224,0.020324
225,0.021232
226,0.021190
227,0.021318
228,0.021292
229,0.021932
230,0.021673
231,0.021043
232,0.021508
233,0.021909
234,0.021693
235,0.020332
236,0.022586
237,0.022948
238,0.021179
239,0.021137
240,0.020887
241,0.021616
242,0.021299
243,0.022110
244,0.020575
245,0.021626
246,0.021519
247,0.021323
248,0.021236
249,0.022482
250,0.021124
