epoch,step,train_loss,train_loss_amr,train_loss_gene,val_f1_macro
0,0,0.9230356216430664,0.7145372629165649,0.6949943900108337,
0,1,0.8552060127258301,0.6471272110939026,0.6935958862304688,
0,2,0.7847026586532593,0.5772882699966431,0.6913813352584839,
0,3,0.714084804058075,0.5077522993087769,0.6877749562263489,
0,4,0.6087966561317444,0.4048722982406616,0.6797478199005127,
0,5,0.5560581684112549,0.35440218448638916,0.672186553478241,
0,6,0.47722452878952026,0.2824722230434418,0.6491742730140686,
0,7,0.6725785732269287,0.4798320233821869,0.6424883604049683,
0,8,1.2140886783599854,1.0308027267456055,0.6109532117843628,
0,9,0.5593380928039551,0.38431018590927124,0.583426296710968,
0,10,0.7318779230117798,0.5634549856185913,0.5614097714424133,
0,11,0.5187025666236877,0.35401418805122375,0.5489612817764282,
0,12,0.8190194368362427,0.657870888710022,0.5371618270874023,
0,13,0.6841272711753845,0.5217675566673279,0.5411990880966187,
0,14,0.6561757326126099,0.49682605266571045,0.5311655402183533,
0,15,0.5999192595481873,0.44526007771492004,0.5155305862426758,
0,16,0.6504568457603455,0.4967518150806427,0.5123500227928162,
0,17,0.6270661354064941,0.47765612602233887,0.4980333745479584,
0,18,0.5476022958755493,0.4098425805568695,0.45919907093048096,
0,19,0.6113893985748291,0.4830668568611145,0.42774173617362976,
0,20,0.5641245245933533,0.43723225593566895,0.42297419905662537,
0,20,,,,0.4694368839263916
1,21,0.42135122418403625,0.32021597027778625,0.3371174931526184,
1,22,0.43455779552459717,0.3365456461906433,0.3267071843147278,
1,23,0.4013060927391052,0.315233439207077,0.2869088351726532,
1,24,0.3334979712963104,0.25965616106987,0.24613934755325317,
1,25,0.27563461661338806,0.22048504650592804,0.18383190035820007,
1,26,0.22702836990356445,0.1635381430387497,0.2116340845823288,
1,27,0.19764593243598938,0.12838353216648102,0.23087464272975922,
1,28,0.20301109552383423,0.1717471331357956,0.10421320050954819,
1,29,0.3480228781700134,0.3097240924835205,0.1276625692844391,
1,30,0.4607042372226715,0.43018361926078796,0.10173539072275162,
1,31,0.28601279854774475,0.23996001482009888,0.15350927412509918,
1,32,0.3714522421360016,0.3077556788921356,0.21232186257839203,
1,33,0.18994636833667755,0.13577230274677277,0.1805802285671234,
1,34,0.23120728135108948,0.19999966025352478,0.10402538627386093,
1,35,0.4110212028026581,0.3580104112625122,0.17670264840126038,
1,36,0.38966235518455505,0.28779488801956177,0.3395582139492035,
1,37,0.21493768692016602,0.16786786913871765,0.1568993777036667,
1,38,0.3183356523513794,0.2567557394504547,0.20526637136936188,
1,39,0.2760929465293884,0.20434847474098206,0.23914819955825806,
1,40,0.21801863610744476,0.17753437161445618,0.13494755327701569,
1,41,0.2289484143257141,0.17826950550079346,0.16892971098423004,
1,41,,,,0.48986274003982544
2,42,0.1831502765417099,0.13745246827602386,0.15232603251934052,
2,43,0.20762495696544647,0.14119502902030945,0.22143308818340302,
2,44,0.1357053816318512,0.08530819416046143,0.16799061000347137,
2,45,0.20970015227794647,0.16119128465652466,0.16169621050357819,
2,46,0.15749885141849518,0.1184082105755806,0.13030214607715607,
2,47,0.09866370260715485,0.04369588941335678,0.18322601914405823,
