MurA	belongs_to_class	other_mechanism
NDM-1	confers_resistance_to	carbapenem
NDM-1	belongs_to_class	carbapenemase
OXA-100	confers_resistance_to	carbapenem
OXA-100	belongs_to_class	beta_lactamase
OXA-104	confers_resistance_to	carbapenem
OXA-104	belongs_to_class	beta_lactamase
OXA-106	confers_resistance_to	carbapenem
OXA-106	belongs_to_class	beta_lactamase
OXA-113	confers_resistance_to	carbapenem
OXA-113	belongs_to_class	beta_lactamase
OXA-120	confers_resistance_to	carbapenem
OXA-120	belongs_to_class	beta_lactamase
OXA-121	confers_resistance_to	carbapenem
OXA-121	belongs_to_class	beta_lactamase
OXA-134 family	confers_resistance_to	carbapenem
OXA-134 family	belongs_to_class	beta_lactamase
OXA-180	confers_resistance_to	carbapenem
OXA-180	belongs_to_class	beta_lactamase
OXA-208	confers_resistance_to	carbapenem
OXA-208	belongs_to_class	beta_lactamase
OXA-213 family	confers_resistance_to	carbapenem
OXA-213 family	belongs_to_class	beta_lactamase
OXA-23	confers_resistance_to	carbapenem
OXA-23	belongs_to_class	beta_lactamase
OXA-23 family	confers_resistance_to	carbapenem
OXA-23 family	belongs_to_class	beta_lactamase
OXA-237	confers_resistance_to	carbapenem
OXA-237	belongs_to_class	beta_lactamase
OXA-24	confers_resistance_to	carbapenem
OXA-24	belongs_to_class	beta_lactamase
OXA-24 family	confers_resistance_to	carbapenem
OXA-24 family	belongs_to_class	beta_lactamase
OXA-26	confers_resistance_to	carbapenem
OXA-26	belongs_to_class	beta_lactamase
OXA-312	confers_resistance_to	carbapenem
OXA-312	belongs_to_class	beta_lactamase
OXA-314	confers_resistance_to	carbapenem
OXA-314	belongs_to_class	beta_lactamase
OXA-317	confers_resistance_to	carbapenem
OXA-317	belongs_to_class	beta_lactamase
OXA-338	confers_resistance_to	carbapenem
OXA-338	belongs_to_class	beta_lactamase
OXA-421	confers_resistance_to	carbapenem
OXA-421	belongs_to_class	beta_lactamase
OXA-51	confers_resistance_to	carbapenem
OXA-51	belongs_to_class	beta_lactamase
OXA-51 family	confers_resistance_to	carbapenem
OXA-51 family	belongs_to_class	beta_lactamase
OXA-58	confers_resistance_to	carbapenem
OXA-58	belongs_to_class	beta_lactamase
OXA-58 family	confers_resistance_to	carbapenem
OXA-58 family	belongs_to_class	beta_lactamase
OXA-64	confers_resistance_to	carbapenem
OXA-64	belongs_to_class	beta_lactamase
OXA-65	confers_resistance_to	carbapenem
OXA-65	belongs_to_class	beta_lactamase
OXA-66	confers_resistance_to	carbapenem
OXA-66	belongs_to_class	beta_lactamase
OXA-68	confers_resistance_to	carbapenem
OXA-68	belongs_to_class	beta_lactamase
OXA-69	confers_resistance_to	carbapenem
OXA-69	belongs_to_class	beta_lactamase
OXA-70	confers_resistance_to	carbapenem
OXA-70	belongs_to_class	beta_lactamase
OXA-71	confers_resistance_to	carbapenem
OXA-71	belongs_to_class	beta_lactamase
OXA-72	confers_resistance_to	carbapenem
OXA-72	belongs_to_class	beta_lactamase
OXA-76	confers_resistance_to	carbapenem
OXA-76	belongs_to_class	beta_lactamase
OXA-82	confers_resistance_to	carbapenem
OXA-82	belongs_to_class	beta_lactamase
OXA-90	confers_resistance_to	carbapenem
OXA-90	belongs_to_class	beta_lactamase
OXA-91	confers_resistance_to	carbapenem
OXA-91	belongs_to_class	beta_lactamase
OXA-94	confers_resistance_to	carbapenem
OXA-94	belongs_to_class	beta_lactamase
OXA-96	confers_resistance_to	carbapenem
OXA-96	belongs_to_class	beta_lactamase
OXA-98	confers_resistance_to	carbapenem
OXA-98	belongs_to_class	beta_lactamase
OprB	confers_resistance_to	carbapenem
OprB	belongs_to_class	other_mechanism
OprD family	confers_resistance_to	carbapenem
OprD family	belongs_to_class	other_mechanism
OxyR	confers_resistance_to	carbapenem
OxyR	belongs_to_class	other_mechanism
PER family	confers_resistance_to	carbapenem
PER family	belongs_to_class	other_mechanism
PER-1	confers_resistance_to	carbapenem
PER-1	belongs_to_class	other_mechanism
PER-7	confers_resistance_to	carbapenem
PER-7	belongs_to_class	other_mechanism
PgsA	confers_resistance_to	carbapenem
PgsA	belongs_to_class	other_mechanism
QacE	confers_resistance_to	carbapenem
QacE	belongs_to_class	other_mechanism
S10p	confers_resistance_to	carbapenem
S10p	belongs_to_class	other_mechanism
S12p	confers_resistance_to	carbapenem
S12p	belongs_to_class	other_mechanism
SHV family	confers_resistance_to	carbapenem
SHV family	belongs_to_class	beta_lactamase
SHV-5	confers_resistance_to	carbapenem
SHV-5	belongs_to_class	beta_lactamase
SugE	confers_resistance_to	carbapenem
SugE	belongs_to_class	other_mechanism
TEM family	confers_resistance_to	carbapenem
TEM family	belongs_to_class	beta_lactamase
TEM-1	confers_resistance_to	carbapenem
TEM-1	belongs_to_class	beta_lactamase
Tet(39)	confers_resistance_to	carbapenem
Tet(39)	belongs_to_class	efflux_pump
Tet(A)	confers_resistance_to	carbapenem
Tet(A)	belongs_to_class	efflux_pump
Tet(B)	confers_resistance_to	carbapenem
Tet(B)	belongs_to_class	efflux_pump
TolC/OpmH	confers_resistance_to	carbapenem
TolC/OpmH	belongs_to_class	efflux_pump
aac(3)	confers_resistance_to	carbapenem
aac(3)	belongs_to_class	aminoglycoside_modifying_enzyme
aac(3)-I	confers_resistance_to	carbapenem
aac(3)-I	belongs_to_class	aminoglycoside_modifying_enzyme
aac(6')-Ian	confers_resistance_to	carbapenem
aac(6')-Ian	belongs_to_class	aminoglycoside_modifying_enzyme
aacA4	confers_resistance_to	carbapenem
aacA4	belongs_to_class	aminoglycoside_modifying_enzyme
aadA	confers_resistance_to	carbapenem
aadA	belongs_to_class	aminoglycoside_modifying_enzyme
aadA1	confers_resistance_to	carbapenem
aadA1	belongs_to_class	aminoglycoside_modifying_enzyme
aadA11	confers_resistance_to	carbapenem
aadA11	belongs_to_class	aminoglycoside_modifying_enzyme
aadA15	confers_resistance_to	carbapenem
aadA15	belongs_to_class	aminoglycoside_modifying_enzyme
aadA21	confers_resistance_to	carbapenem
aadA21	belongs_to_class	aminoglycoside_modifying_enzyme
