epoch,train_loss,val_f1_macro
0,0.188744,0.958051
1,0.232157,0.958328
2,0.419661,0.955442
3,0.055570,0.960108
4,0.030293,0.956203
5,0.042428,0.955740
6,0.219088,0.953105
7,0.056521,0.956366
8,0.034864,0.955192
9,0.138089,0.955656
10,0.088089,0.954369
11,0.201192,0.954494
12,0.030045,0.958399
13,0.028800,0.951616
