gene,mean_attn
leuO_3,0.001620689
APH(4)-Ia,0.001619303
ompS2,0.0016187615
AAC(3)-IV,0.001617796
hns_1,0.0016152821
str,0.0016138528
bcr,0.0016136707
dfrA21,0.0016130683
mdtP_2,0.0016119136
soxS_4,0.0016118564
mdtK_2,0.0016107595
aadA24,0.0016100494
blaTEM,0.0016097544
phoP_1,0.0016093934
rseD,0.0016082549
FloR family,0.0016079893
macA_1,0.0016077989
SHV-1,0.0016072203
floR,0.0016062072
yfbF,0.001603762
ydgF,0.0016029673
nfsA_2,0.0016019496
oprD,0.0016012805
emrE,0.0016007252
dhfrI,0.0016006889
marA_2,0.0016006884
ompN_2,0.0015999086
DHA/MOR family,0.0015990776
bla_4,0.0015988766
CTX-M-14,0.0015978588
soxS_2,0.0015978158
TEM-84,0.0015974344
yibH_5,0.0015973469
aadA16,0.0015968523
rmtF,0.001596597
ant1,0.0015961251
tetA_2,0.0015954645
folP_3,0.0015954399
ftsI_1,0.0015951613
qacE,0.0015935266
AAC(3)-IIc,0.0015933843
SHV-168,0.0015931787
aacA-aphD,0.0015931004
NDM-5,0.00159235
blaOXA,0.0015922091
aac(6')-Ib,0.0015909757
OXA-48,0.0015907658
ErmB,0.0015902123
aac(3),0.0015902027
bepE_1,0.001589803
SHV-27,0.0015897232
arr-2,0.0015893459
bla,0.0015891136
macA_2,0.0015889279
tuf_2,0.0015881055
NDM-1,0.0015880384
aacA4,0.0015876393
msbA_2,0.0015872696
glpT_3,0.0015871883
OXA-181,0.001586822
rob,0.0015867451
dfrA17,0.0015864905
citA_1,0.0015864134
APH(4)-I,0.0015863074
acrF,0.0015861089
aph(3'')-Ib,0.0015861043
acrE,0.0015856756
blaCTX-M,0.0015855217
ddl_1,0.0015849409
alr_2,0.0015845118
cirA_3,0.0015844761
glpT_2,0.0015844693
dadB,0.0015841807
arr,0.0015840275
glpT_1,0.0015838873
oxyR,0.001583864
ANT(2'')-Ia,0.0015836888
aadA3,0.0015829894
CTX-M-3,0.0015827994
QnrB6,0.0015823263
qacH,0.0015822372
vagC_2,0.0015817046
ompN,0.0015806243
rmtB,0.0015804473
ispC,0.0015803807
vagC_1,0.0015798789
cirA_2,0.0015798775
sul3,0.00157941
tuf1,0.0015791444
yohG,0.0015783986
QnrB2,0.001578329
yibH_3,0.001578179
ydgE,0.0015778767
hns_3,0.0015773698
yidY,0.0015773242
msrE,0.001577303
basR_2,0.0015772277
EmrAB-OMF,0.0015772067
soxS_3,0.0015771181
yegB,0.0015770369
yegN,0.0015764186
bpeF,0.0015763234
QnrB4,0.0015761029
citA,0.0015759869
KPC-4,0.0015757341
yibH_2,0.0015755062
sat-1,0.0015754882
yfbW,0.0015752957
ampC,0.0015751211
ygjG,0.0015746896
soxS_5,0.0015736159
Mef(B),0.001573591
mdtK_1,0.0015732468
soxS_6,0.0015732186
mdtM,0.001573163
TEM-54,0.0015729549
aph(6)-I,0.0015726857
SHV-30,0.001572565
cirA_1,0.0015725278
acrZ,0.0015725254
ble,0.0015723634
yfbG,0.0015721711
ramA_2,0.00157193
VIM-1,0.0015718709
basR,0.0015718675
marR_2,0.0015716915
pipB2,0.0015716195
ramA_1,0.0015713996
aadB,0.0015709916
tuf_1,0.0015704293
yokD,0.0015700647
LAP family,0.0015700455
APH(3')-III/APH(3')-IV/APH(3')-VI/APH(3')-VII,0.0015696626
SHV-64,0.001569613
ddl_2,0.0015693639
APH(3')-VI,0.0015693619
AAC(6')-Ib9,0.0015692929
yegM,0.0015686665
ant1_1,0.0015685197
AAC(3)-I,0.0015682429
soxS_1,0.0015682237
DHA-6,0.0015677741
SHV-36,0.0015676352
OXY-1-4,0.0015675442
fusA_3,0.0015670758
blaSHV,0.00156705
cmlA,0.0015668197
kpnF,0.001566803
SHV-76,0.0015667123
CMY-2,0.0015663957
mcrB,0.0015663818
frp,0.0015661004
AAC(6')-Ia (and related AACs),0.0015659998
cat,0.001565888
dfrB3,0.0015658544
OXA-232,0.0015658028
rob_2,0.001565675
sat2,0.0015656262
Mph(E)/Mph(G) family,0.0015654244
yibH_4,0.0015653
mefB,0.0015652783
AAC(6')-33,0.0015648595
aac(6')-Il,0.0015647177
OKP-B-2,0.0015645084
aadA5,0.0015644806
QnrA1,0.0015642166
msr,0.0015641255
SHV-62,0.0015640011
ompK37,0.0015639887
OKP-B-7,0.0015638889
IMP-4,0.0015638317
bepF_1,0.0015636607
AAC(3)-Ib,0.0015636019
yegO,0.0015635897
emrE_2,0.0015635618
alr1,0.0015635205
Msr(E),0.0015634997
bleO,0.001563481
AAC(6')-Ib4,0.0015634074
aph(3')-VI,0.0015633105
CMY/CMY-2/CFE/LAT family,0.0015631153
bepE,0.0015631015
bcr_2,0.0015630842
phoP_3,0.0015630679
QnrB19,0.0015630244
CTX-M-11,0.0015630124
soxS_7,0.0015629728
uhpT_1,0.0015629552
SHV-2,0.0015629232
armA,0.0015627557
SHV-187,0.0015627402
SHV-2A,0.0015623452
blaOKP,0.0015622948
ant1_2,0.0015622615
AAC(6')-Ib10,0.0015621713
DHA-1,0.0015615749
Tet(G),0.0015613725
emrB_1,0.0015611533
VIM family,0.0015608966
aadA1,0.0015604938
tetG,0.0015604601
OXA-10 family,0.0015602254
omp36,0.0015601434
ymfD_1,0.001560141
leuO_2,0.0015599903
bla_5,0.0015599474
OXA-10,0.0015599257
macA_3,0.0015598827
ere(A),0.0015595221
arnB_2,0.0015591583
bcr_3,0.0015590602
uhpT_2,0.0015589567
"AAC(6')-Ic,f,g,h,j,k,l,r-z",0.0015589353
acrB_5,0.0015585598
yycF_2,0.0015579977
hph,0.0015579744
EreA2,0.0015576984
tuf1_3,0.0015573036
neo,0.0015569191
crcB,0.0015567002
fabF_4,0.0015565773
rmt,0.0015565504
oxyR_4,0.0015565328
mdtD_1,0.0015561676
ftsI_3,0.0015560681
yibH_7,0.0015558674
ompC_1,0.0015556929
emrB_3,0.0015549854
OKP-B family,0.0015543886
FosA2,0.0015489522
SHV-33,0.0015489522
AAC(6')-Ib',0.0015489522
tetD_2,0.0015489522
vagC_3,0.0015489522
yjiO,0.0015489522
yusO_1,0.0015489522
tetR,0.0015489522
AAC(6')-Ib7,0.0015489522
SHV-26,0.0015489522
tetA,0.0015489522
yibH_6,0.0015489522
AAC(6')-Ib8,0.0015489522
EmrKY-TolC,0.0015489522
yfbE,0.0015489522
SHV-16,0.0015489522
yiaV_3,0.0015489522
yheS,0.0015489522
EreA family,0.0015489522
yeeO,0.0015489522
ugpQ_3,0.0015489522
tufA,0.0015489522
yfbJ,0.0015489522
SHV-155,0.0015489522
yfbH,0.0015489522
CTX-M-27,0.0015489522
CatA2 family,0.0015489522
yibH_1,0.0015489522
mdtA_1,0.0015489522
tet(D),0.0015489522
cysB_1,0.0015489522
dfrA_1,0.0015489522
dfrA_2,0.0015489522
ompF_1,0.0015489522
dhfrIII,0.0015489522
dhfrI_1,0.0015489522
dhfrI_2,0.0015489522
norM,0.0015489522
nfsA_1,0.0015489522
emrE_1,0.0015489522
eptA_1,0.0015489522
eptA_2,0.0015489522
erm,0.0015489522
fabF_3,0.0015489522
mph(E),0.0015489522
mgrB,0.0015489522
fabI_1,0.0015489522
mexB_1,0.0015489522
fabI_2,0.0015489522
ftsI_2,0.0015489522
mdtN_1,0.0015489522
glpQ1,0.0015489522
imp,0.0015489522
kdeA,0.0015489522
kpnE,0.0015489522
leuO_1,0.0015489522
mdtH_1,0.0015489522
marA_3,0.0015489522
marA_4,0.0015489522
marB,0.0015489522
cysB_2,0.0015489522
ompN_4,0.0015489522
SHV-5,0.0015489522
cobO,0.0015489522
SHV-52,0.0015489522
SHV-71,0.0015489522
SHV-8,0.0015489522
SHV-86,0.0015489522
SHV-9,0.0015489522
Tet(B),0.0015489522
Tet(D),0.0015489522
VIM-27,0.0015489522
smeA,0.0015489522
aacC4,0.0015489522
acrA_3,0.0015489522
acrR_2,0.0015489522
baeS,0.0015489522
bepE_3,0.0015489522
blaNDM-1_1,0.0015489522
blaNDM-1_2,0.0015489522
proP_3,0.0015489522
blaNDM-1_3,0.0015489522
pmrB,0.0015489522
phoP_4,0.0015489522
blaT-6,0.0015489522
catII,0.0015489522
cat_2,0.0015489522
ccrB,0.0015489522
oxyR_3,0.0015489522
oxyR_2,0.0015489522
citA_2,0.0015489522
cmlA2,0.0015489522
cmr,0.0015489522
rosA,0.0015489522
